ICAO,IATA,Name,Municipality,Country,"Lat, Long"
TFFR,PTP,Pointe-à-Pitre Le Raizet,Pointe-à-Pitre,Guadeloupe,"16.26763348734914, -61.527302645634016"
KPDX,PDX,Portland International Airport,Portland,United States,"45.58978439498624, -122.5951478453137"
KPWM,PWM,Portland International Jetport Airport,Portland,United States,"43.64649400615482, -70.30975104534619"
TNCM,SXM,Princess Juliana International Airport,Saint Martin,Sint Maarten,"18.041890190299473, -63.113135745625534"
MDPC,PUJ,Punta Cana International Airport,Punta Cana,Dominican Republic,"18.563301628671965, -68.36854674562277"
KMLI,MLI,Quad City International Airport,Moline,United States,"41.44965016259721, -90.50832424538117"
KRDU,RDU,Raleigh Durham International Airport,Raleigh/Durham,United States,"35.8800963661304, -78.78804994546125"
KHIB,HIB,Range Regional Airport,Hibbing,United States,"47.39214180552358, -92.84225744528227"
KRNO,RNO,Reno Tahoe International Airport,Reno,United States,"39.49960723684737, -119.76814874541073"
KRIC,RIC,Richmond International Airport,Richmond,United States,"37.50659650182515, -77.32086484543902"
KAMA,AMA,Rick Husband Amarillo International Airport,Amarillo,United States,"35.218216810403085, -101.70644334546982"
KLCK,LCK,Rickenbacker International Airport,Columbus,United States,"39.81739756084823, -82.935899845406"
KROA,ROA,Roanoke–Blacksburg Regional Airport,Roanoke,United States,"37.320415044223815, -79.9702451454417"
KRST,RST,Rochester International Airport,Rochester,United States,"43.12444417218226, -77.66671286829721"
KDCA,DCA,Ronald Reagan Washington National Airport,Washington,United States,"38.851258690325054, -77.0402851454201"
KSMF,SMF,Sacramento International Airport,Sacramento,United States,"38.69510212697312, -121.59011844542229"
KSLC,SLC,Salt Lake City International Airport,Salt Lake City,United States,"40.78990177088361, -111.97927299957982"
KSAT,SAT,San Antonio International Airport,San Antonio,United States,"29.531187947049222, -98.46835913018977"
KSAN,SAN,San Diego International Airport,San Diego,United States,"32.73391075147387, -117.19335319886197"
KSFO,SFO,San Francisco International Airport,San Francisco,United States,"37.62131287979035, -122.37908414729382"
KSRQ,SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,United States,"27.395059125309587, -82.55370017253779"
KSAV,SAV,Savannah Hilton Head International Airport,Savannah,United States,"32.13571585132774, -81.20955274550758"
KBLV,BLV,Scott AFB/Midamerica Airport,Belleville,United States,"38.547708061451104, -89.81571974542452"
KSEA,SEA,Seattle-Tacoma International Airport,Seattle,United States,"47.45026438949879, -122.30887014528146"
KSPS,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,"33.96430027732374, -98.49187614548569"
KSUX,SUX,Sioux Gateway Col. Bud Day Field,Sioux City,United States,"42.40175322427798, -96.3766428953663"
KSBN,SBN,South Bend Regional Airport,South Bend,United States,"41.707732698430846, -86.3158969453772"
KRSW,RSW,Southwest Florida International Airport,Fort Myers,United States,"26.53372428086618, -81.75536194556541"
KSUS,SUS,Spirit of St Louis Airport,St Louis,United States,"38.66349003437716, -90.64463134542278"
KGEG,GEG,Spokane International Airport,Spokane,United States,"47.621220742279, -117.53342574527821"
KSGF,SGF,Springfield Branson National Airport,Springfield,United States,"37.23825446287708, -93.39726914544285"
KSTL,STL,St Louis Lambert International Airport,St Louis,United States,"38.74995461411392, -90.37486754542157"
CYYT,YYT,St. John's International Airport,St. John's,Canada,"47.62122454227792, -52.7424965452783"
KSYR,SYR,Syracuse Hancock International Airport,Syracuse,United States,"43.11393794316333, -76.11375184535481"
KTLH,TLH,Tallahassee Regional Airport,Tallahassee,United States,"30.395360290175375, -84.34512824552702"
KTPA,TPA,Tampa International Airport,Tampa,United States,"27.977171332697672, -82.53119184555182"
PANC,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,"61.17589662756697, -149.99013284500458"
KCID,CID,The Eastern Iowa Airport,Cedar Rapids,United States,"41.886402053819374, -91.70702904537441"
KPVD,PVD,Theodore Francis Green State Airport,Providence,United States,"41.72355199448716, -71.42701064537697"
MPTO,PTY,Tocumen International Airport,Tocumen,Panama,"9.066877083058761, -79.38721304565222"
KTOL,TOL,Toledo Express Airport,Toledo,United States,"41.585788528789905, -83.80931304537904"
KTRI,TRI,Tri-Cities Regional TN/VA Airport,Bristol/Johnson/Kingsport,United States,"36.480236743516265, -82.40304054842579"
KHTS,HTS,Tri-State/Milton J. Ferguson Field,Huntington,United States,"38.36935460302326, -82.555784545427"
KTUS,TUS,Tucson International Airport,Tucson,United States,"32.12127847077502, -110.93647219389399"
KTUL,TUL,Tulsa International Airport,Tulsa,United States,"36.19452430373057, -95.88719089369066"
CYVR,YVR,Vancouver International Airport,Vancouver,Canada,"49.1967053011447, -123.18156594524966"
CYYJ,YYJ,Victoria International Airport,Victoria,Canada,"48.64818815594218, -123.42887534525958"
KIAD,IAD,Washington Dulles International Airport,Washington,United States,"38.953132866349875, -77.45659244541861"
KSZL,SZL,Whiteman Air Force Base,Knob Noster,United States,"38.728407061012625, -93.5638456891167"
KICT,ICT,Wichita Eisenhower National Airport,Wichita,United States,"37.65086986884734, -97.42875244543711"
KOKC,OKC,Will Rogers World Airport,Oklahoma City,United States,"35.393073472514196, -97.60060964546753"
KHOU,HOU,William P Hobby Airport,Houston,United States,"29.645932730867788, -95.27694874553501"
CYWG,YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,"49.90785609709627, -97.23007444493956"
KCRW,CRW,Yeager Airport,Charleston,United States,"38.371471202531126, -81.59351484542701"
